ID,TCN,NAME,ABBR,RACK_ID,city_id
1106,,Tosco West,Tosco W,23,42
1107,T-33-CA-4782,Tesoro,Tesoro,24,43
1108,T-33-CA-4773,Chevron,Chevron,24,43
1111,T-33-CA-4778,Shell Oil Products US,SOPUS,24,43
1112,T-33-CA-4790,Phillips 66 Company PSX,PSX,24,43
1113,T-68-CA-4614,Kinder Morgan Energy Partners,KMEP,25,44
1114,T-68-CA-4607,Chevron,Chevron,25,45
1117,T-68-CA-4619,International Matex Tank Terminal,IMTT,25,44
1118,T-68-CA-4610,Shell Oil Products US,SOPUS,25,46
1119,T-94-CA-4703,Shell Oil Products US,SOPUS,25,47
1120,T-94-CA-4705,Plains All American Pipeline LP,PAA,25,44
1123,T-68-CA-4605,NuStar,NuStar,25,48
1124,T-77-CA-4650,Chevron,Chevron,26,49
1125,,Gibson,Gibson,26,50
1128,T-68-CA-4609,Buckeye,Buckeye,27,51
1129,T-68-CA-4604,Chevron,Chevron,27,52
1130,,Kinder Morgan Energy Partners,KMEP,27,51
1132,T-68-CA-4626,NuStar,NuStar,27,51
1134,T-68-CA-4630,Time Oil,Time Oil,27,51
1135,T-68-CA-4625,Phillips 66 Company PSX,PSX,27,51
1136,T-84-CO-4100,Magellan Pipeline Company,Magellan,28,53
1138,T-84-CO-4102,Suncor West,Suncor W,28,54
1139,T-84-CO-4105,Magellan Pipeline Company,Magellan,28,55
1142,T-84-CO-4109,Sinclair,Sinclair,28,56
1143,T-84-CO-4106,Magellan Pipeline Company,Magellan,29,57
1145,D-00-CO-1145,Suncor West,Suncor W,30,58
1146,D-00-CO-1146,Suncor East,Suncor E,30,58
1147,,Westec,Westec,30,58
1148,T-84-CO-4110,Phillips 66 Company PSX,PSX,31,59
1150,T-06-CT-1267,Global Companies LLC,Global,32,60
1153,T-06-CT-1252,Citgo,Citgo,33,61
1154,T-06-CT-1284,Port Oil,Port Oil,33,62
1155,T-06-CT-1270,Global Companies LLC,Global,33,63
1156,T-06-CT-1253,Motiva Enterprise,Motiva,33,64
1158,T-06-CT-1264,Gateway Terminal,Gateway,34,65
1159,T-06-CT-1261,Getty,Getty,34,65
1161,,Morgan,Morgan,34,65
1162,T-06-CT-1258,New Haven Term,NH Term,34,65
1163,T-06-CT-1254,Motiva Enterprise,Motiva,34,65
1166,T-06-CT-1260,Transmontaigne,TPSI,35,66
1167,T-52-MD-1564,ST Service,ST Service,36,67
1168,T-52-MD-1574,Magellan Pipeline Company,Magellan,37,68
1169,T-52-MD-1572,Sico,Sico,37,68
1171,,Transmontaigne,TPSI,37,68
1172,,Aectra,Aectra,38,69
1174,T-59-FL-2103,Magellan Pipeline Company,Magellan,38,69
1175,T-59-FL-2109,Apex Oil,Apex Oil,38,69
1177,T-59-FL-2104,Apex Oil North,Apex Oil N,38,69
1178,T-59-FL-2105,Transmontaigne,TPSI,38,69
1179,T-59-FL-2108,Flint Hills Resources,FlintHills,38,69
1180,T-59-FL-2112,NuStar,NuStar,38,69
1182,T-65-FL-2152,Kinder Morgan Energy Partners,KMEP,39,70
1183,T-65-FL-2153,Chevron,Chevron,39,71
1184,T-65-FL-2157,Citgo,Citgo,39,71
1188,T-65-FL-2161,ExxonMobil,XOM,39,71
1189,T-65-FL-2163,Marathon Petroleum Corporation South,MarathonS,39,70
1192,T-59-FL-2114,Citgo,Citgo,40,72
1193,T-59-FL-2115,Murphy,Murphy,40,73
1194,T-59-FL-2138,Transmontaigne,TPSI,41,74
1197,T-59-FL-2117,Citgo,Citgo,42,75
1198,T-59-FL-2140,Whitaker,Whitaker,42,75
1199,T-59-FL-2118,ElPaso Merchant Petroleum Energy Company,ElPaso,43,76
1200,T-59-FL-2119,Transmontaigne East,TPSI E,43,76
1201,T-59-FL-2120,Transmontaigne West,TPSI W,43,76
1202,T-59-FL-2125,Murphy,Murphy,44,77
1205,T-59-FL-2130,Buckeye,Buckeye,45,78
1206,T-59-FL-2135,Amoco,Amoco,45,78
1207,T-59-FL-2131,Chevron,Chevron,45,78
1209,T-59-FL-2122,Transmontaigne,TPSI,45,79
1210,T-59-FL-2123,Kinder Morgan Energy Partners,KMEP,45,78
1213,T-59-FL-2124,Motiva Enterprise,Motiva,45,78
1214,T-59-FL-2137,Motiva Enterprise old Star Ent terminal,Motiva Tx,45,78
1216,T-58-GA-2502,Transmontaigne,TPSI,46,80
1217,T-58-GA-2505,Transmontaigne,TPSI,46,81
1219,T-58-GA-2501,Magellan Pipeline Company,Magellan,46,80
1222,T-58-GA-2508,Transmontaigne,TPSI,47,82
1225,T-58-GA-2525,Transmontaigne,TPSI,48,83
1226,T-58-GA-2526,Kinder Morgan Energy Partners North,KMEP N,48,83
1228,,BP & TPSI - Southeast Terminals,SE Term,48,84
1229,T-58-GA-2528,Chevron,Chevron,48,83
1231,T-58-GA-2530,Crown,Crown,48,83
1233,T-58-GA-2519,Magellan Pipeline Company,Magellan,48,85
1234,T-58-GA-2532,Marathon Petroleum Corporation,Marathon,48,83
1236,T-58-GA-2535,Magellan Pipeline Company West,MagellanW,48,83
1237,T-58-GA-2517,NuStar,NuStar,48,86
1241,T-58-GA-2533,Magellan Pipeline Company East,MagellanE,48,83
1242,T-58-GA-2515,Transmontaigne,TPSI,49,87
1243,T-58-GA-2514,Motiva Enterprise,Motiva,49,87
1244,T-58-GA-2516,Stratus,Stratus,49,88
1247,T-58-GA-2521,Crown,Crown,50,89
1248,T-58-GA-2522,Omega Partners lll LLC North,Omega N,50,89
1249,T-58-GA-2523,Marathon Petroleum Corporation,Marathon,50,89
1250,T-58-GA-2537,Transmontaigne,TPSI,51,90
1253,T-58-GA-2538,Vecenergy,Vecenergy,52,91
1254,T-58-GA-2541,Marathon Petroleum Corporation,Marathon,52,91
1255,T-58-GA-2543,Magellan Pipeline Company,Magellan,52,91
